case_tag,source_tag,binning_tag,fit_mode,state,rapidity,source_file,output_file,n_weight_bins
local260505_2exp_mergeLowHigh_poly2,local260505_2exp,mergeLowHigh,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,5
local260505_2exp_mergeLowHigh_expoConst,local260505_2exp,mergeLowHigh,expoConst,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_expoConst/ratioDataMC_AA_Jpsi_DATA_mid.root,5
local260505_2exp_mergeLowHigh_doubleExp,local260505_2exp,mergeLowHigh,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root,5
local260505_2exp_everyOther_linear,local260505_2exp,everyOther,linear,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_linear/ratioDataMC_AA_Jpsi_DATA_mid.root,4
local260505_2exp_everyOther_poly2,local260505_2exp,everyOther,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,4
local260505_2exp_everyOther_expoConst,local260505_2exp,everyOther,expoConst,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_expoConst/ratioDataMC_AA_Jpsi_DATA_mid.root,4
local260505_2exp_everyOther_doubleExp,local260505_2exp,everyOther,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root,4
local260505_2exp_coarse3_linear,local260505_2exp,coarse3,linear,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_linear/ratioDataMC_AA_Jpsi_DATA_mid.root,2
local260505_2exp_coarse3_poly2,local260505_2exp,coarse3,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,2
local260505_2exp_coarse3_expoConst,local260505_2exp,coarse3,expoConst,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_expoConst/ratioDataMC_AA_Jpsi_DATA_mid.root,2
