observable,state,bin,bak_raa,gwak_header_raa,bak_over_gwak_raa,raa_diff_pct,gwak_acc_pp,gwak_acc_pbpb,bak_acc_pp,bak_acc_pbpb,acc_only_ratio,gwak_eff_pp,gwak_eff_pbpb,bak_eff_pp,bak_eff_pbpb,acc_eff_ratio,residual_after_acc_pct,residual_after_acc_eff_pct
mid_cent,PR,Npart=131.00,0.452285002,0.510000000,0.886833338,-11.316666230,0.218870687,0.178924204,0.238360183,0.220868276,0.882230081,0.623353438,0.500047854,0.625278661,0.499783039,0.885423746,0.521775063,0.159199653
mid_cent,PR,Npart=188.20,0.376868733,0.426000000,0.884668387,-11.533161323,0.218870687,0.178924204,0.238360183,0.220868276,0.882230081,0.623353438,0.433859678,0.625278661,0.433946422,0.884777945,0.276379788,-0.012382531
mid_cent,PR,Npart=262.30,0.311645466,0.352000000,0.885356437,-11.464356303,0.218870687,0.178924204,0.238360183,0.220868276,0.882230081,0.623353438,0.350252655,0.625278661,0.350329534,0.884760642,0.354369670,0.067339659
mid_cent,PR,Npart=356.90,0.242296659,0.273000000,0.887533551,-11.246644906,0.218870687,0.178924204,0.238360183,0.220868276,0.882230081,0.623353438,0.263912692,0.625278661,0.263780704,0.885397650,0.601143614,0.241236388
mid_cent,NP,Npart=27.12,0.707206717,0.806000000,0.877427689,-12.257231131,0.261140531,0.207703497,0.293150823,0.267224443,0.872538229,0.668092985,0.571277955,0.671485680,0.571303614,0.876929746,0.560371944,0.056782474
mid_cent,NP,Npart=87.19,0.641682061,0.731000000,0.877814037,-12.218596282,0.261140531,0.207703497,0.293150823,0.267224443,0.872538229,0.668092985,0.549525402,0.671485680,0.549483664,0.877035748,0.604650633,0.088740927
mid_cent,NP,Npart=131.00,0.563981551,0.642000000,0.878475936,-12.152406435,0.261140531,0.207703497,0.293150823,0.267224443,0.872538229,0.668092985,0.519656287,0.671485680,0.519494797,0.877241748,0.680509598,0.140689534
mid_cent,NP,Npart=188.20,0.486711764,0.555000000,0.876958134,-12.304186637,0.261140531,0.207703497,0.293150823,0.267224443,0.872538229,0.668092985,0.450273056,0.671485680,0.450265589,0.876983678,0.506557103,-0.002912727
mid_cent,NP,Npart=262.30,0.435401442,0.496000000,0.877825487,-12.217451257,0.261140531,0.207703497,0.293150823,0.267224443,0.872538229,0.668092985,0.362923857,0.671485680,0.362710698,0.877484512,0.605962925,0.038858313
mid_cent,NP,Npart=356.90,0.360492871,0.411000000,0.877111608,-12.288839210,0.261140531,0.207703497,0.293150823,0.267224443,0.872538229,0.668092985,0.272708944,0.671485680,0.272522693,0.877568484,0.524146507,-0.052061547
fwd_cent,PR,Npart=27.12,0.847223645,0.766000000,1.106036090,10.603608989,0.161635879,0.116606872,0.177583024,0.116898644,1.095918741,0.612438347,0.502343411,0.617635500,0.502457348,1.104968089,0.923184247,0.096654411
fwd_cent,PR,Npart=109.10,0.707476105,0.640000000,1.105431414,10.543141399,0.161635879,0.116606872,0.177583024,0.116898644,1.095918741,0.612438347,0.444918822,0.617635500,0.445022669,1.104960804,0.868008997,0.042590663
fwd_cent,PR,Npart=225.20,0.566059516,0.512000000,1.105584993,10.558499288,0.161635879,0.116606872,0.177583024,0.116898644,1.095918741,0.612438347,0.309079172,0.617635500,0.309115218,1.105089827,0.882022708,0.044807704
fwd_cent,PR,Npart=356.90,0.461218829,0.417000000,1.106040358,10.604035758,0.161635879,0.116606872,0.177583024,0.116898644,1.095918741,0.612438347,0.197024841,0.617635500,0.197014255,1.105278094,0.923573663,0.068965813
fwd_cent,NP,Npart=27.12,0.873715283,0.854000000,1.023085811,2.308581149,0.195962483,0.137686403,0.203151887,0.139579791,1.022625078,0.635315193,0.523142982,0.634917563,0.523136478,1.021997744,0.045054040,0.106464729
fwd_cent,NP,Npart=109.10,0.723436194,0.708000000,1.021802534,2.180253382,0.195962483,0.137686403,0.203151887,0.139579791,1.022625078,0.635315193,0.470858081,0.634917563,0.470866223,1.021967365,-0.080434538,-0.016128850
fwd_cent,NP,Npart=225.20,0.538112440,0.526000000,1.023027453,2.302745313,0.195962483,0.137686403,0.203151887,0.139579791,1.022625078,0.635315193,0.333029014,0.634917563,0.332950066,1.022227367,0.039347318,0.078268913
fwd_cent,NP,Npart=356.90,0.425689359,0.416000000,1.023291727,2.329172729,0.195962483,0.137686403,0.203151887,0.139579791,1.022625078,0.635315193,0.215409213,0.634917563,0.215448253,1.021799849,0.065190041,0.146004933
