source_tag,mode,state,rapidity,source_file,output_file
ctau260310_2exp_y024,sourceFunc,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_sourceFunc/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
ctau260310_2exp_y024,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root
ctau260310_2exp_y024,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root
ctau260310_2exp_y024,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root
ctau260310_2exp_y024,doubleExp,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
ctau260310_2exp_y024,poly3Pole,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_poly3Pole/ratioDataMC_AA_Jpsi_DATA_mid.root
ctau260310_2exp_y024,poly3Pole,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_poly3Pole/ratioDataMC_AA_Jpsi_DATA_fwd.root
ctau260310_2exp_y024,poly3Pole,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_mid.root
ctau260310_2exp_y024,poly3Pole,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
split251118,sourceFunc,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_1p6_251118.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251118_sourceFunc/ratioDataMC_AA_Jpsi_DATA_mid.root
